id,name,description,price,category,rating
p1,Wireless Bluetooth Headphones,"High-quality sound with noise cancellation, long battery life.",99.99,Electronics,4.5
p2,Ergonomic Office Chair,"Comfortable and supportive for long working hours.",249.99,Furniture,4.8
p3,Smartwatch with Heart Rate Monitor,"Tracks fitness, notifications, and health metrics.",149.99,Electronics,4.2
p4,Organic Coffee Beans (1lb),"Premium Arabica beans, medium roast, rich flavor.",15.99,Food & Beverage,4.7
p5,Noise-Cancelling Earbuds,"Compact, great for travel, excellent sound isolation.",79.99,Electronics,4.0
p6,Ultra HD 4K Smart TV,"Stunning visuals, smart features, immersive entertainment.",799.99,Electronics,4.9
p7,Stainless Steel Water Bottle,"Keeps drinks cold for 24 hours, hot for 12. Eco-friendly.",19.99,Home Goods,4.6
p8,Portable Power Bank 20000mAh,"Fast charging for multiple devices, compact design.",39.99,Electronics,4.3
p9,Yoga Mat Non-Slip,"Thick and durable for all yoga styles, easy to clean.",29.99,Sports & Outdoors,4.4
p10,Digital Air Fryer 5.8QT,"Healthy cooking with less oil, multiple presets, easy to use.",119.99,Home Appliances,4.7
